screen_time,avg_session,breaks,night_ratio,productive_ratio,fatigue_score,fatigue_level,productivity_loss
2,15,12,0.05,0.85,18,Low,1
2.5,18,11,0.08,0.82,22,Low,1
3,22,10,0.1,0.8,28,Low,2
3.5,25,9,0.12,0.78,32,Low,2
4,30,8,0.15,0.75,38,Medium,3
4.5,35,7,0.18,0.72,42,Medium,3
5,40,6,0.22,0.7,48,Medium,4
5.5,45,5,0.25,0.68,52,Medium,4
6,50,5,0.3,0.65,58,Medium,5
6.5,55,4,0.35,0.62,62,Medium,5
7,60,4,0.4,0.6,68,Medium,6
7.5,65,3,0.45,0.55,72,High,7
8,70,3,0.5,0.52,76,High,7
8.5,75,2,0.55,0.5,80,High,8
9,80,2,0.6,0.48,84,High,8
9.5,85,1,0.65,0.45,88,High,9
10,90,1,0.7,0.42,92,High,9
10.5,95,1,0.75,0.4,95,High,10
11,100,0,0.8,0.38,97,High,10
11.5,105,0,0.85,0.35,99,High,10
9,85,0,0.5,0.49,85,High,9
